15000.000, -179.000, -78.000, -0.249, 0.249, 0.061, 0.096
15000.000, -179.000, -77.000, -0.283, 0.230, 0.061, 0.093
15000.000, -179.000, -76.000, -0.214, 0.195, 0.061, 0.086
15000.000, -179.000, -75.000, -0.116, 0.156, 0.061, 0.076
15000.000, -179.000, -74.000, -0.082, 0.120, 0.061, 0.067
15000.000, -179.000, -73.000, -0.060, 0.091, 0.061, 0.065
15000.000, -179.000, -72.000, -0.024, 0.067, 0.061, 0.065
15000.000, -179.000, -71.000, -0.003, 0.042, 0.061, 0.064
15000.000, -179.000, -70.000, -0.019, -0.010, 0.061, 0.064
15000.000, -179.000, -69.000, -0.053, -0.072, 0.061, 0.064
15000.000, -179.000, -68.000, -0.058, -0.084, 0.061, 0.063
15000.000, -179.000, -67.000, -0.036, -0.061, 0.061, 0.062
15000.000, -179.000, -66.000, -0.005, -0.032, 0.061, 0.064
15000.000, -179.000, -65.000, 0.021, -0.012, 0.061, 0.063
15000.000, -179.000, -64.000, 0.047, -0.001, 0.062, 0.062
15000.000, -179.000, -63.000, 0.070, -0.001, 0.069, 0.065
15000.000, -179.000, -62.000, 0.088, -0.019, 0.073, 0.067
15000.000, -179.000, -61.000, 0.108, -0.043, 0.077, 0.069
15000.000, -179.000, -60.000, 0.134, -0.070, 0.082, 0.071
15000.000, -179.000, -59.000, 0.160, -0.101, 0.098, 0.077
15000.000, -179.000, -58.000, 0.151, -0.124, 0.092, 0.075
15000.000, -179.000, -57.000, 0.123, -0.142, 0.075, 0.068
15000.000, -179.000, -56.000, 0.117, -0.183, 0.071, 0.066
15000.000, -179.000, -55.000, 0.182, -0.074, 0.061, 0.061
15000.000, -179.000, -54.000, 0.131, -0.177, 0.061, 0.061
15000.000, -179.000, -53.000, 0.105, -0.136, 0.057, 0.057
15000.000, -179.000, -52.000, 0.198, 0.038, 0.055, 0.055
15000.000, -179.000, -51.000, 0.024, 0.110, 0.059, 0.059
15000.000, -179.000, -50.000, 0.089, 0.390, 0.055, 0.064
15000.000, -179.000, -49.000, 0.170, 0.325, 0.091, 0.153
15000.000, -179.000, -48.000, 0.360, 0.192, 0.145, 0.144
15000.000, -179.000, -47.000, 0.506, -0.056, 0.264, 0.156
15000.000, -179.000, -46.000, 0.365, -0.237, 0.366, 0.201
15000.000, -179.000, -45.000, 0.474, -0.127, 0.382, 0.213
15000.000, -179.000, -44.000, 0.377, -0.139, 0.356, 0.197
15000.000, -179.000, -43.000, 0.559, -0.264, 0.291, 0.173
15000.000, -179.000, -42.000, 0.566, -0.384, 0.200, 0.138
15000.000, -179.000, -41.000, 0.507, -0.240, 0.150, 0.109
15000.000, -179.000, -40.000, 0.343, -0.086, 0.106, 0.091
15000.000, -179.000, -39.000, 0.167, -0.012, 0.082, 0.082
15000.000, -179.000, -38.000, 0.107, 0.054, 0.074, 0.074
15000.000, -179.000, -37.000, 0.069, 0.180, 0.072, 0.072
15000.000, -179.000, -36.000, 0.077, 0.283, 0.059, 0.070
15000.000, -179.000, -35.000, 0.175, 0.148, 0.044, 0.045
15000.000, -179.000, -34.000, 0.144, 0.007, 0.041, 0.041
15000.000, -179.000, -33.000, 0.342, 0.035, 0.062, 0.062
15000.000, -179.000, -32.000, 0.489, 0.215, 0.077, 0.070
15000.000, -179.000, -31.000, 0.483, 0.360, 0.098, 0.109
15000.000, -179.000, -30.000, 0.318, 0.530, 0.045, 0.070
15000.000, -179.000, -29.000, 0.288, 0.476, 0.059, 0.087
15000.000, -179.000, -28.000, 0.240, 0.272, 0.067, 0.081
15000.000, -179.000, -27.000, 0.038, 0.102, 0.065, 0.065
15000.000, -179.000, -26.000, -0.026, -0.007, 0.062, 0.061
15000.000, -179.000, -25.000, -0.086, -0.084, 0.057, 0.057
15000.000, -179.000, -24.000, -0.058, -0.043, 0.071, 0.071
15000.000, -179.000, -23.000, 0.081, 0.157, 0.070, 0.070
15000.000, -179.000, -22.000, 0.237, 0.090, 0.047, 0.048
15000.000, -179.000, -21.000, 0.011, -0.058, 0.055, 0.055
15000.000, -179.000, -20.000, -0.216, 0.025, 0.042, 0.042
15000.000, -179.000, -19.000, -0.303, 0.059, 0.047, 0.046
15000.000, -179.000, -18.000, -0.181, -0.068, 0.055, 0.055
15000.000, -179.000, -17.000, 0.005, -0.127, 0.037, 0.037
15000.000, -179.000, -16.000, -0.092, -0.098, 0.033, 0.033
